Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/auctions/:id (read),300008,1,1900.0,1857.985483076023,79.64608306065202,46142.108167055994,697.8736733687101,925.9050590493956,0.0030862678963540823,1900,2000,2100,2200,2300,2400,2800,4100,41000,44000,46000
POST,/auctions/:id/bid,298778,0,1600.0,1561.4417186043308,80.46404225751758,14730.466542299837,68.12795788177175,922.10894953688,0.0,1600,1900,2000,2000,2100,2200,2500,3900,8700,13000,15000
,Aggregated,598786,1,1700.0,1710.0181744527085,79.64608306065202,46142.108167055994,383.6476136716623,1848.0140085862756,0.0030862678963540823,1700,2000,2000,2100,2200,2300,2700,4000,39000,43000,46000
