Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/auctions/:id (read),930991,0,120.0,137.15385239101496,80.6984999217093,37129.94920788333,701.4305981475653,3881.0333669193797,0.0,120,130,150,150,180,230,420,480,870,2800,37000
POST,/auctions/:id/bid,931763,0,120.0,141.96968982600578,81.82883309200406,15304.677749983966,31.0,3884.251612594431,0.0,120,140,150,150,180,230,430,530,1100,2900,15000
,Aggregated,1862754,0,120.0,139.5627690466439,80.6984999217093,37129.94920788333,366.0763724034414,7765.284979513811,0.0,120,140,150,150,180,230,420,500,1000,2900,37000
