Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/auctions/:id (read),892531,0,140.0,163.4192665794012,80.67491604015231,16552.991167176515,701.463902094157,3719.6724922164,0.0,140,160,170,180,220,290,490,640,1800,2400,17000
POST,/auctions/:id/bid,892850,0,140.0,170.29600090568968,81.98104193434119,25225.942166056484,31.0,3721.0019424259913,0.0,140,160,180,190,230,310,520,790,2200,3100,25000
,Aggregated,1785381,0,140.0,166.8582480871169,80.67491604015231,25225.942166056484,366.17205403216457,7440.674434642391,0.0,140,160,170,190,220,300,500,720,2000,3100,25000
