Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/auctions/:id (read),580244,0,400.0,399.9317668909079,79.3886249884963,12120.894749648869,701.4367576398894,2416.9058359103265,0.0,400,530,570,600,690,760,870,1100,2100,2600,12000
POST,/auctions/:id/bid,580367,0,640.0,660.2297466266456,81.5089582465589,13565.232791006565,31.0,2417.4181710965877,0.0,640,960,1000,1100,1200,1200,1400,1800,2900,3100,14000
,Aggregated,1160611,0,450.0,530.094549774485,79.3886249884963,13565.232791006565,366.18285282493446,4834.324007006914,0.0,450,620,790,910,1100,1200,1300,1600,2600,3100,14000
